Traktion;Techn. Ident;Techn. Platz;Bez.;Ort
Tr;FD0101;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0102;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0103;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0104;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0105;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0106;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0107;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0108;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0109;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0110;03-0101-001-01;Fahrdraht Tram;Brünnen
Tr;FD0201;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0202;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0203;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0204;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0205;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0206;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0207;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0208;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0209;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0210;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0211;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0212;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0213;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0214;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0215;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0216;03-0101-002-01;Fahrdraht Tram;Bethlehem
Tr;FD0217;03-0101-002-01;Fahrdraht Tram;Bethlehem
