FehlerKat.;Techn. Platz;Tech.Identnr.;Beschreibung;Verantw.ArbPl.;Meldungsdatum;Meldungszeit;StörBeginn;StörungsBegZt;Störungsende;StörungsEndZt;Meldung;Auftrag;Aktionenbezeichnung;Aktionstext;Codierung Text;Fehlerart Gruppe;Fehlerart Code;Fehlerart Text;Ursache Gruppe;Ursache Code;Ursache Text
B;03-0101-012-01-2;;Stromabnehmerentgleisung;A474;30.12.2018;11:32:00;31.12.2018;06:46:46;;00:00:00;2269939;215931;;;;6;1;Entgleisung;2;6;Drittverschulden
C;01-9000-2-001-01;HNSA502/3;DBo keine Fahrstrassen Einstellbar;A474;29.12.2018;20:27:34;27.12.2018;07:00:00;27.12.2018;09:00:00;2269932;215930;Eingestellt;Datensammler neu gestartet;;5;7;Unterbruch;;;
C;03-0101-018;;Fahrantenne GÜMEBF -HB defekt;A474;28.12.2018;10:44:41;28.12.2018;11:45:10;;00:00:00;2269860;215928;;;;6;8;sonstiges;2;10;unbekannt /sonstiges
C;01-0341-2-001-01;W0274;W274 v.Hd. W-Licht dunkel;A474;24.12.2018;09:54:20;24.12.2018;10:02:46;;00:00:00;2269690;215929;;;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1009;Weiche 1009 und W1010 schwarz;A474;21.12.2018;15:21:22;21.12.2018;15:41:49;21.12.2018;20:00:00;2269574;215949;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 schwarz;A474;21.12.2018;15:43:07;21.12.2018;15:30:00;;00:00:00;2269569;;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1006;Weiche 1016 schwarz;A474;21.12.2018;15:06:03;21.12.2018;15:42:33;;00:00:00;2269573;;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1003;Weiche HB 1003 ging nicht;A474;21.12.2018;16:57:07;24.12.2018;07:46:19;24.12.2018;15:15:00;2269578;215948;;;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1003;W1003 W-Signal dunkel;A474;20.12.2018;08:49:15;20.12.2018;08:50:35;;00:00:00;2269458;;;;;7;2;Kein Block;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/3;DBo Steuerbereich 3 ausgestiegen;A474;20.12.2018;12:06:24;20.12.2018;07:00:00;20.12.2018;08:00:00;2269475;215927;Kontrolliert;Endlage wieder eingestellt;;7;4;Keine Endlage;;;
X;01-9001-2-001-01;HNSA600/1;Punktsignal Eigerpaltz leuchtet permanen;A474;20.12.2018;10:18:04;01.12.2018;09:00:00;01.12.2018;10:00:00;2269472;215926;Eingestellt;Steuerung neu eingelesen;;5;15;Ausserhalb Toleranz;;;
B;03-0101-091;;Trolleybus Ausfahrt Garage abgeräumt;A474;19.12.2018;07:25:41;17.12.2018;06:30:00;17.12.2018;15:45:00;2269360;215918;Weitere Aktionen;FL wieder einschalten;;6;8;sonstiges;;;
C;01-0340-2-001-01;W1003;W1003/1004 Block löscht nicht;A474;19.12.2018;11:36:51;19.12.2018;11:42:10;;00:00:00;2269387;;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
